trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9999988750002109, 'e': 0.95}",20,0,-151.86465781041443,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.999995500003375, 'e': 0.8999999999999999}",30,0,-209.06933290688372,"{0: 15, 1: 6, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.9999898750170859, 'e': 0.8499999999999999}",20,2,-66.36264742713016,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 0}",1
4,False,"{'a': 0.999982000054, 'e': 0.7999999999999998}",20,0,-111.64039501125221,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
5,False,"{'a': 0.9999718751318357, 'e': 0.7499999999999998}",20,12,-0.18105717244459907,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.9999595002733742, 'e': 0.6999999999999997}",25,0,-137.48737301865955,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.999944875506459, 'e': 0.6499999999999997}",20,0,-122.71296130601532,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.9999280008639958, 'e': 0.5999999999999996}",25,11,-8.820235095233649,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.9999088763839525, 'e': 0.5499999999999996}",25,4,-68.22022818527559,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 1}",1
10,False,"{'a': 0.9998875021093592, 'e': 0.4999999999999996}",30,0,-49.38435066714638,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.9998638780883079, 'e': 0.4499999999999996}",20,0,-76.52507431769986,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.9998380043739528, 'e': 0.39999999999999963}",25,13,13.915200490156092,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.9998098810245096, 'e': 0.34999999999999964}",25,7,-22.53868348661657,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.9997795081032559, 'e': 0.29999999999999966}",30,16,-58.1123659847703,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.9997468856785308, 'e': 0.24999999999999967}",20,0,-34.273897876855116,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.9997120138237345, 'e': 0.19999999999999968}",25,9,26.683402331789225,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9996748926173291, 'e': 0.1499999999999997}",20,0,29.472580762179415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.9996355221428369, 'e': 0.09999999999999969}",25,12,25.91936369147572,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.9995939024888416, 'e': 0.049999999999999684}",30,13,18.673531704590243,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.9995500337489875, 'e': -3.191891195797325e-16}",20,8,-3.3475800602270835,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,8,30.075327230309707,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,28.448776561184438,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,-24.747798663787428,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,8,-23.773442891408866,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,6,25.982918289876565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,22.611953128673782,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,7,-29.626668320252595,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,26.272640639818842,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,13.010922343749929,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,2,30.19449697797612,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,8,20.280533604568376,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,9,-1.5699836070359088,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,8,-41.13573979652918,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
14,True,"{'a': 0, 'e': 0}",25,0,-37.052591666240176,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
15,True,"{'a': 0, 'e': 0}",20,0,32.46084798551704,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,0,21.165694849099026,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",30,3,-0.7479428774162544,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,6,24.468789933279673,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,6,17.666907094460086,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,0,30.14015204164089,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
