trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.99}",20,15,-2.7174018922199314,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.6, 'e': 0.9801}",20,3,-12.791461013745195,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.970299}",25,0,-52.25026991510458,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.96059601}",25,0,-4.885404555742586,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.9509900498999999}",20,6,24.148959560189056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.941480149401}",30,8,19.261746830714824,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.6, 'e': 0.9320653479069899}",20,0,-27.837513336340095,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.9227446944279201}",25,0,26.1200831479514,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.9135172474836408}",20,6,12.609120607209116,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.6, 'e': 0.9043820750088044}",20,1,26.800673180077943,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.6, 'e': 0.8953382542587164}",30,12,28.11870260287264,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.6, 'e': 0.8863848717161292}",25,16,17.75104664191328,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.8775210229989678}",35,16,32.76600607299057,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.8687458127689782}",30,16,25.260121390056756,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.6, 'e': 0.8600583546412884}",20,13,13.678043842196459,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.8514577710948755}",25,7,31.014778526185353,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.6, 'e': 0.8429431933839268}",20,8,19.72653119934126,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': 0.8345137614500875}",20,9,-4.49663084346216,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.6, 'e': 0.8261686238355866}",25,13,24.00843883103301,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.6, 'e': 0.8179069375972308}",25,9,28.223276785817532,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.6, 'e': 0.8097278682212584}",25,16,18.234966599317037,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.6, 'e': 0.8016305895390459}",20,0,27.98316721590757,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.6, 'e': 0.7936142836436554}",30,20,19.670752456986577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.6, 'e': 0.7856781408072188}",20,11,16.77438578551798,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.6, 'e': 0.7778213593991467}",20,0,33.33310340383083,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.7700431458051551}",25,6,28.86142910534877,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.6, 'e': 0.7623427143471035}",20,9,20.792330256927148,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.6, 'e': 0.7547192872036326}",20,1,34.72850418492056,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.6, 'e': 0.7471720943315961}",25,12,25.39661685498713,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.7397003733882802}",25,8,7.845320898015817,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
31,False,"{'a': 0.6, 'e': 0.7323033696543975}",30,23,13.669622847686844,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.6, 'e': 0.7249803359578534}",35,15,36.46969509459509,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
