trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.97895992164999,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,11,-44.659477800773644,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.76548803075527,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,4,-85.15614465696486,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-121.7628153830315,"{0: 26, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.036345959676936,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-191.36522197097736,"{0: 20, 1: 3, 2: 8, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.25644989610964,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.2028220940532,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.13709862415248,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-269.940269492851,"{0: 9, 1: 4, 2: 0, 3: 1, 4: 6}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.6231888266968,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,23,-15.985284073078994,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,17,-38.98148107132997,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.63856605458528,"{0: 14, 1: 4, 2: 7, 3: 4, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,6,-64.25187197736776,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.19844098368496,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,12,-22.337857118609755,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-230.0466389442418,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,6,-94.19936825188437,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-167.21891801279511,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-208.1016410594805,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-168.80274114196894,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,13,-81.70316362381499,"{0: 5, 1: 2, 2: 4, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.1063228244657,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.81411937852862,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.99088090784463,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.37961493315838,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.11769630854218,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,18,-26.968073120881684,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
